NAME,"RATING","VOTES","GENRE","YEAR"
в объятиях лжи,6.136,7481,"триллер, драма, детектив",2018
джим пуговка и машинист лукас,6.134,1630,"фэнтези, приключения, семейный",2018
две королевы,6.133,9769,"драма, биография, история",2018
частная война,6.131,1542,"драма, военный, биография",2018
ночная смена,6.13,10227,"комедия",2018
золотая орда,6.122,1344,"мелодрама, драма, приключения",2018
человек место время и снова человек,6.12,553,"триллер",2018
tomb raider лара крофт,6.111,46311,"фэнтези, боевик, триллер",2018
видок охотник на призраков,6.109,2045,"триллер, криминал, приключения",2018
перспектива,6.105,2004,"фантастика, триллер, драма",2018
света с того света,6.102,1771,"комедия",2018
блич,6.101,1039,"боевик, фантастика, фэнтези",2018
кавалерия,6.096,5745,"боевик, драма, военный",2018
город и город,6.086,586,"фантастика, драма, криминал",2018
90я церемония вручения премии оскар,6.067,766,"церемония",2018
стальная страна,6.047,706,"триллер, детектив",2018
небоскреб,6.034,27120,"боевик, триллер, приключения",2018
чайка,6.032,645,"драма, мелодрама, комедия",2018
анон,6.027,14099,"фантастика, триллер",2018
придержи тьму,6.015,3861,"триллер, драма, детектив",2018
вокс люкс,6.015,3561,"драма, музыка",2018
оцепеневшие от страха,6.01,7221,"ужасы",2018
решение о ликвидации,6,2120,"военный, боевик, драма",2018
бегущий в лабиринте лекарство от смерти,5.98,32930,"фантастика, боевик, триллер",2018
ремнант всё ещё вижу тебя,5.965,5065,"триллер, детектив, мелодрама",2018
помешанный на времени,5.96,2781,"фантастика, драма, мелодрама",2018
маленькая италия,5.953,1169,"мелодрама, комедия",2018
судная ночь,5.95,1070,"ужасы, фантастика, боевик",2018
криптон,5.946,1193,"фантастика, боевик, драма",2018
как женить холостяка,5.941,16988,"драма, мелодрама, комедия",2018
подбросы,5.932,2198,"драма",2018
конная полиция,5.93,1120,"комедия",2018
несчастный случай,5.923,2154,"боевик, триллер, криминал",2018
статус обновлен,5.913,3377,"фэнтези, мелодрама, комедия",2018
нежная рука закона,5.907,539,"драма, мелодрама, комедия",2018
совсем не золушка,5.905,632,"мелодрама",2018
убрать из друзей даркнет,5.901,3197,"ужасы, триллер, криминал",2018
тайна дома с часами,5.899,14494,"ужасы, фантастика, фэнтези",2018
мег монстр глубины,5.891,31848,"ужасы, фантастика, боевик",2018
1+1 голливудская история,5.89,4850,"драма, комедия",2018
нло,5.884,1586,"фантастика, триллер, драма",2018
моя жизнь,5.884,704,"мелодрама",2018
интервью с богом,5.881,1705,"драма, детектив",2018
семь пар нечистых,5.881,504,"боевик, драма, военный",2018
кажется мы остались одни,5.878,1646,"фантастика, драма, детектив",2018
вебкамера,5.875,2178,"ужасы, триллер, детектив",2018
парадокс кловерфилда,5.874,15604,"ужасы, фантастика, триллер",2018
пышка,5.867,4022,"комедия, драма",2018
русский бес,5.865,1828,"комедия, триллер, драма",2018
ничего себе каникулы,5.86,961,"комедия",2018
мир принадлежит тебе,5.854,1021,"комедия, криминал",2018
девушка которая застряла в паутине,5.852,11805,"боевик, триллер, драма",2018
хантер киллер,5.851,7006,"боевик, триллер",2018
пансион,5.846,867,"ужасы, детектив",2018
ржавый ручей,5.845,754,"ужасы, триллер, драма",2018
шпион который меня кинул,5.844,16527,"боевик, комедия, приключения",2018
дыши во мгле,5.839,8780,"фантастика, триллер, приключения",2018
фагот,5.833,1155,"комедия",2018
на край света,5.832,1160,"комедия, мелодрама",2018
игра,5.832,709,"комедия, триллер",2018
22 мили,5.831,10366,"боевик, триллер, приключения",2018
разлом,5.824,1311,"боевик, триллер, драма",2018
днюха,5.819,7812,"комедия",2018
тобол,5.811,4667,"история, драма",2018
коллекторы,5.809,1642,"боевик, комедия",2018
немой,5.807,4033,"фантастика, триллер, детектив",2018
тёмные отражения,5.797,10386,"фантастика, боевик, триллер",2018
девица,5.79,1667,"драма, мелодрама, комедия",2018
не чужие,5.785,544,"драма",2018
отель артемида,5.784,9321,"фантастика, боевик, триллер",2018
волки и овцы ход свиньёй,5.779,725,"мультфильм, семейный, комедия",2018
лондонские поля,5.769,6935,"триллер, криминал, детектив",2018
париж город zомби,5.767,4332,"ужасы, триллер, драма",2018
так сказал чарли,5.767,1048,"драма, криминал, биография",2018
хэллоуин,5.761,20234,"ужасы, триллер",2018
шерлок гномс,5.757,2402,"мультфильм, фэнтези, мелодрама",2018
город лжи,5.755,792,"триллер, драма, криминал",2018
секса не будет,5.753,12836,"комедия",2018
пушистый шпион,5.747,509,"мультфильм, приключения, семейный",2018
как я стал русским,5.746,3758,"комедия",2018
дубликат,5.741,3174,"фантастика, драма",2018
тихоокеанский рубеж 2,5.738,33316,"фантастика, боевик, приключения",2018
один король  одна франция,5.738,807,"драма",2018
исчезновение,5.735,2803,"триллер, криминал, детектив",2018
я  миллиардер,5.723,710,"комедия",2018
лукас,5.722,2048,"боевик, триллер, драма",2018
время возмездия,5.717,2658,"боевик, триллер, драма",2018
дом вверх дном,5.717,928,"комедия",2018
дождь,5.716,1438,"фантастика, триллер, драма",2018
прощаться не будем,5.714,1532,"военный, драма, история",2018
конченая,5.713,14226,"триллер, драма, криминал",2018
сеняфедя,5.71,1162,"комедия",2018
истерия,5.707,7431,"ужасы, триллер",2018
правда или действие,5.702,19672,"ужасы, триллер",2018
